period,value,index_ratio,imputed_weight_share,coverage_ratio,n_quotes,n_strata_reported,imputation_ceiling_breached,is_base,config_hash,panel_hash,weights_vintage
2026-09-01,100.0,1.0,0.0,1.0,2520,420,False,True,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-02,101.9748331172255,1.019748331172255,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-03,98.77661690040772,0.9686372007773598,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-04,102.47506245780642,1.0374425210485563,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-05,101.57865284827015,0.9912524121670543,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-06,103.37064120963339,1.017641387349761,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-07,105.00845947550748,1.0158441337570174,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-08,106.48533027743959,1.0140643030981382,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-09,108.73801052458387,1.021154841153003,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-10,105.24557519310515,0.9678821111897284,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-11,109.7843668245164,1.0431257240324208,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-12,108.27914027672486,0.9862892450780579,0.005789743030835149,0.9952380952380953,2508,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-13,105.98744459575562,0.9788352985153702,0.005789743030835149,0.9952380952380953,2508,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-14,99.99567022224485,0.9434671305043361,0.005789743030835149,0.9952380952380953,2508,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-15,100.87380998406992,1.0087817778497146,0.005789743030835149,0.9952380952380953,2508,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-16,99.2981511311305,0.9843799014512463,0.005789743030835149,0.9952380952380953,2520,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-17,99.80722709265517,1.005126741593128,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-18,102.28867930732801,1.0248624502148447,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
2026-09-19,100.44716346017256,0.9819968753177213,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,936772da10b889fe73dc40b6766ffacac2092eb6f5f42dbb20185b8efd45e839,dgca-2025-city-pairs-r2
